text,tagged_sentence,label
"The function was organised by Kanpur Congress Lok Sabha member and Union Coal Minister Shriprakash Jaiswal , and attended by ministers of state for railway , E. The new trains are Kanpur-New Delhi Shatabdi Express , Lucknow - New Delhi Duronto , Allahabad - New Delhi Duronto , Gorakhpur - Lokmanya Tilak Terminal Express , Varanasi-Jammu Tawi Superfast , Lucknow-Yashwantpur Express , Agra-Lucknow Intercity , Mathura-Kasganj Passenger , Bhopal - Pratapgarh Express , Gorakhpur - Nainital Express , Gorakhpur - Noutha Passenger and Chapra - Mathura Express .",NoTag,0
Cubbon Park Walkers Oppose Government Move 08th January 2014 07:49 AM Members of the Cubbon Park Walkers ’ Association on Tuesday held a candlelight protest against the state government ’ s plan to set up a Cubbon Park Development Authority .,Members of the <cause>Cubbon Park Walkers' Association</cause> on <trigger>08th January 2014 07:49 AM</trigger> <trigger>held a candlelight protest</trigger> <trigger>against</trigger> the state government’s <effect>plan to set up a Cubbon Park Development Authority</effect>.,1
IIT Row : PSI Brandishes Pistol at Protesters 02nd October 2015 03:39 AM RAICHUR : The ongoing agitation against the Centre ’ s decision to set up the state ’ s first IIT at Dharwad took an ugly turn on Thursday after West Police Station PSI Agni allegedly assaulted a lorry driver and brandished his service revolver at the agitators during a protest by the lorry owners ’ association here .,"During a protest on <trigger>02nd October 2015</trigger>, <cause>PSI Agni</cause> <trigger>brandished his pistol</trigger> and <cause>assaulted a lorry driver</cause> <effect>amid an ongoing agitation against the Centre’s decision to establish the state’s first IIT at Dharwad</effect>.",1
The lorry owners ’ association was staging a protest by blocking the road near Ambedkar Circle .,The <cause>lorry owners’ association</cause> was <trigger>staging a protest</trigger> by <effect>blocking the road near Ambedkar Circle</effect>.,1
"Barring this incident , the agitation by other organisations on Thursday was peaceful .",NoTag,0
"On Tuesday night tens of thousands of demonstrators packed the city ’ s downtown area for a third night as protest leaders warned they would step up their actions if Hong Kong ’ s chief executive , Leung Chun-ying , did not meet them by midnight .","On <trigger>Tuesday night</trigger>, <cause>tens of thousands of demonstrators</cause> filled the city’s downtown for the third consecutive night, as <trigger>protest leaders</trigger> warned of escalating actions if <effect>Hong Kong’s chief executive, Leung Chun-ying, did not meet their demands by midnight</effect>.",1
"On Tuesday Clegg sent a series of supportive tweets , including : “ I sympathise a great deal with the brave pro-democracy demonstrators taking to the streets of Hong Kong. ” He said the UK remained committed to the joint declaration and said that “ universal suffrage must mean real choice ” for voters and “ a proper stake in the 2017 election ” .",NoTag,0
"The demonstrations pose a real problem , not just for the British but for others too .",NoTag,0
"September 14 , 2012 00:00 IST Her absence from Vijayamma ’ s protest meet gives credence to rumours Rumour mills are abuzz in Warangal hinting that YSR Congress party leader and former Minister Konda Surekha may join the Congress soon .","On <trigger>September 14, 2012</trigger>, <cause>rumours intensified in Warangal</cause> as <cause>YSR Congress party leader and former Minister Konda Surekha’s absence</cause> from <effect>Vijayamma’s protest meet</effect> fueled speculation that she may soon <effect>join the Congress</effect>.",1
Ms. Surekha ’ s absence at the recently held protest meeting by Y .,NoTag,0
"Hindu outfits blocked by police 04th November 2009 04:48 AM THIRUVANANTHAPURAM : Protests against foreign missionary Bernard Blessing ’ s presence in the city spilled into the streets on Tuesday evening with Hindu organisations taking out a march to his prayer meeting , and engaging in a minor scuffle with the police .",NoTag,0
"A protest march jointly organised by the Vishwa Hindu Parishad and Hindu Aikya Vedi entered into a scuffle with the police near the State Central Library even as Blessing led , his supporters claimed , ` ` a packed prayer meeting ’ ’ at the Chandrasekharan Nair Stadium .",NoTag,0
The protest march started at 7.30 p.m. but the police blocked it before it reached the venue .,NoTag,0
"Then on Thursday , some pupils returned to classes after having spent months out of school as residents protested against the Municipal Demarcation Board 's decision to include their areas under a new municipality .","On <trigger>Thursday</trigger>, <cause>some pupils</cause> <effect>returned to classes</effect> after spending months out of school, as <cause>residents</cause> <effect>protested</effect> against the <cause>Municipal Demarcation Board's decision</cause> to <effect>include their areas in a new municipality</effect>.",1
"Addressing a massive public rally at Vandalur , around 40 km from here , Modi said : "" The central government should be strong , only then the neighbouring countries will be friendly with us . "" Accusing the United Progressive Alliance ( UPA ) government of adopting a confrontationist attitude towards the states , he said it has been demolishing the constitutional institutions whereas the need of the hour is a cooperative attitude .","Addressing a <trigger>massive public rally at Vandalur, around 40 km from here</trigger>, <cause>Modi</cause> said: ""<cause>The central government should be strong</cause>, only then <effect>the neighbouring countries will be friendly with us</effect>."" Accusing the <cause>United Progressive Alliance (UPA) government</cause> of adopting a <effect>confrontationist attitude towards the states</effect>, he said it has been <effect>demolishing the constitutional institutions</effect> whereas the <cause>need of the hour</cause> is a <effect>cooperative attitude</effect>.",1
"If it does , when you ’ re confronting an enemy that beheads people and wants to put nuclear bombs in our subways , then waterboarding is well within the rules. ” Trump faced a backlash in March when he referred to the 1989 Tiananmen Square protests as a “ riot ” .","If it does, when you’re confronting an <cause>enemy that beheads people</cause> and <effect>wants to put nuclear bombs in our subways</effect>, then <effect>waterboarding is justified within the rules</effect>. <cause>Trump</cause> faced a <effect>backlash</effect> in <trigger>March</trigger> when he referred to the <cause>1989 Tiananmen Square protests</cause> as a <effect>“riot”</effect>.",1
"Protesting the unethical ban , hundreds of Bengal traders launched an agitation on Monday and threatened to intensify it , if the matter is not resolved soon .","Protesting the <cause>unethical ban</cause>, <cause>hundreds of Bengal traders</cause> launched an <effect>agitation</effect> on <trigger>Monday</trigger> and <effect>threatened to intensify it</effect> if the matter is not resolved soon.",1
"The neighbouring State apparently relented after 500 trucks carrying vegetables , eggs , fishes and other perishable items from Andhra Pradesh were detained by BJD activists at various places in Balasore .","The neighbouring State <effect>relented</effect> after <trigger>500 trucks</trigger> carrying <cause>vegetables, eggs, fishes, and other perishable items from Andhra Pradesh</cause> were <effect>detained by BJD activists</effect> at various places in Balasore.",1
"“ Though after the CM-level talks , we released all the detained trucks to West Bengal , they took back all the potato-laden trucks to their State , ” Agrawal said .",NoTag,0
Labour Minister Mildred Oliphant intervened on Monday in an extended strike by petrol attendants and workers in the automotive industry .,NoTag,0
"The strike began on September 9 , with Numsa demanding a double-digit percentage increase .","The <trigger>strike</trigger> began on <trigger>September 9</trigger>, with <cause>Numsa</cause> demanding a <effect>double-digit percentage increase</effect>.",1
"About 70,000 workers were reported to be on strike .",NoTag,0
"Protests show rising green concerns PUBLISHED : Wednesday , 04 July , 2012 , 12:00am Mass protests this week over the planned construction of a molybdenum-copper alloy plant in Shifang , Sichuan province show that environmental concerns are becoming a leading cause of social unrest .",NoTag,0
"Authorities yesterday said they would scrap the 10.4 billion yuan ( HK $ 12.7 billion ) project , the subject of demonstrations by tens of thousands of Shifang residents .","Authorities said they would <effect>scrap</effect> the <cause>10.4 billion yuan (HK $12.7 billion) project</cause>, the <cause>subject of demonstrations by tens of thousands of Shifang residents</cause>.",1
" Once the damage is done , it is long-lasting and not remediable . ' The massive three-day protest this week was the latest in a series of grass-roots demonstrations over polluting projects , as mainlanders have gained awareness in recent years of environmental and health concerns associated with pollution .","Once the <cause>damage</cause> is done, it is <effect>long-lasting and not remediable</effect>. The <trigger>massive three-day protest</trigger> this week was the latest in a <trigger>series of grass-roots demonstrations</trigger> over <cause>polluting projects</cause>, as <cause>mainlanders</cause> have gained <effect>awareness of environmental and health concerns</effect> associated with <cause>pollution</cause>.",1
"Last summer , tens of thousands of people in the northeastern city of Dalian , Liaoning , marched to demand the relocation of a chemical plant .","Last <trigger>summer</trigger>, <cause>tens of thousands of people in Dalian, Liaoning</cause> marched to <effect>demand the relocation of a chemical plant</effect>.",1
"And in June 2007 , over 20,000 people rallied in Xiamen , a coastal city in Fujian province , to protest against plans to built a paraxylene chemical plant in the city .","In <trigger>June 2007</trigger>, <cause>over 20,000 people</cause> rallied in <trigger>Xiamen</trigger> to <effect>protest against plans to build a paraxylene chemical plant</effect>.",1
"Following the Xiamen incident , the ' not in my backyard ' mentality sparked similar protests in several mainland cities , including Dalian , Guangzhou and Shantou .","Following the <trigger>Xiamen incident</trigger>, the <cause>“not in my backyard” mentality</cause> sparked <effect>similar protests</effect> in several mainland cities, including <trigger>Dalian, Guangzhou, and Shantou</trigger>.",1
Analysts say the mainland public has taken to such protests because they lack adequate channels to express their concerns about environmental risks posed by massive industrial projects .,<cause>Analysts</cause> say the <cause>mainland public</cause> has <effect>taken to such protests</effect> because they <cause>lack adequate channels to express their concerns</cause> about the <effect>environmental risks posed by massive industrial projects</effect>.,1
"Ma Jun , director of the Institute of Public and Environmental Affairs in Beijing , said the Shifang protests came as a last resort for local residents to make their voices heard , as ' all other channels for public participation were ineffective ' .","<cause>Ma Jun</cause>, director of the Institute of Public and Environmental Affairs in Beijing, said the <cause>Shifang protests</cause> came as a <effect>last resort</effect> for local residents to <effect>make their voices heard</effect>, as <cause>all other channels for public participation</cause> were <effect>ineffective</effect>.",1
"SRINAGAR : One killed , 100 injured in Valley September 01 , 2016 00:00 IST As curfew was lifted from all 10 districts , violence singed the Kashmir Valley on Wednesday , leaving a civilian dead and over 100 injured .","<cause>Curfew</cause> was <effect>lifted</effect> from all 10 districts, as <cause>violence</cause> singed the Kashmir Valley on <trigger>Wednesday</trigger>, leaving a <effect>civilian dead</effect> and <effect>over 100 injured</effect>.",1
The house of a PDP MP was torched in south Kashmir .,The <trigger>house</trigger> of a <cause>PDP MP</cause> was <effect>torched</effect> in <trigger>south Kashmir</trigger>.,1
Divisional Commissioner ( Kashmir ) Baseer Khan said more than 900 people attacked an Army convoy at Ladoora Rafiabad in Baramulla district .,NoTag,0
"“ Amid stone-throwing , some rounds were fired at the convoy going to Kupwara .",NoTag,0
"But the locals said clashes between the residents and the Army started in the morning when the latter stopped the movement of fruit trucks in Rafiabad and Sopore , asking the drivers to ply only during the shutdown period .","But the locals said <cause>clashes</cause> between the <cause>residents</cause> and the <cause>Army</cause> started in the <trigger>morning</trigger> when the <cause>Army stopped the movement of fruit trucks</cause> in <trigger>Rafiabad and Sopore</trigger>, asking the drivers to <effect>ply only during the shutdown period</effect>.",1
"“ The youth was killed at a protest against the Army ’ s action halting the vehicles , ” alleged Mohammad Yasin Khan , head of a traders ’ body .",NoTag,0
"Joshua Wong , the teenage activist who was one of the most recognisable faces of Hong Kong ’ s umbrella movement protests , has been found guilty of “ illegal assembly ” by a court in the former British colony .",NoTag,0
The action helped launch a 79-day street occupation that was described as the greatest challenge to China ’ s Communist rulers since the 1989 Tiananmen protests .,The <cause>action</cause> helped <effect>launch a 79-day street occupation</effect> that was described as the <effect>greatest challenge</effect> to <cause>China’s Communist rulers</cause> since the <trigger>1989 Tiananmen protests</trigger>.,1
"More violence in TN district Posted : Wed Jun 25 1997 IST RAJAPALAYAM , June 23 : In continuing violence in TN 's Kamarajar district , one person was stabbed and buses being attacked .","In continuing <cause>violence</cause> in <trigger>TN's Kamarajar district Wed Jun 25 1997 IST RAJAPALAYAM</trigger>, <effect>one person was stabbed</effect> and <effect>buses were attacked</effect>.",1
"Meanwhile , a peace rally , taken out on behalf of the Sarvodaya movement from Chennai , reached Kamarajar district .",NoTag,0
ANDHRA PRADESH Constable and SI allege harassment by higher-up SEEKING JUSTICE : Reserve constable Sanyasi Sahu staging a dharna opposite the City Armed Reserve office in Visakhapatnam on Saturday .,NoTag,0
"April 09 , 2006 00:00 IST Senior officers reportedly trying to sort out issue VISAKHAPATNAM : The Police Stadium , which also houses the headquarters of the City Armed Reserve located , witnessed a rare incident of a constable and a Sub-Inspector staging a silent protest .",NoTag,0
"Incidentally , the officer against whom they made the allegations resumed duty on Saturday after recovering from the injuries he had suffered in the police-fishermen clashes in Gangavaram on March 27 .",NoTag,0
Some police personnel intervened and urged them to give up their protest - but to no avail .,Some <cause>police personnel</cause> intervened and <effect>urged them to give up their protest</effect>—but to <effect>no avail</effect>.,1
They poured out their woes to the reporters and photographers who reached the Police Stadium on hearing about the incident .,They <effect>poured out their woes</effect> to the <cause>reporters and photographers</cause> who reached the <trigger>Police Stadium</trigger> on hearing about the <cause>incident</cause>.,1
"Maoist Kill Local Leader in Odisha 30th December 2013 01:37 PM Suspecting him to be a police informer , Maoists have killed a local leader in Kosa Madhi ( 38 ) of Sangel village under Kalimela police station , secretary of local Panipanchyat , was kidnapped by the ultras on Friday when they triggered a blast with explosives and destroyed the bridge over river Poteru apparently to stop movement of security personnel between Kalimela and Padia .","<cause>Maoists</cause> <effect>killed a local leader</effect> in <trigger>Odisha</trigger> on <trigger>30th December 2013</trigger>, suspecting him to be a <cause>police informer</cause>.",1
"Madhi was produced before the ' Kangaroo Court ' and killed by the ultra for acting as a police informer , villagers alleged .","<cause>Madhi</cause> was produced before the <trigger>‘Kangaroo Court’</trigger> and <effect>killed by the ultra</effect> for <cause>acting as a police informer</cause>, villagers alleged.",1
"On Friday , the Maoists had looted the house of a special police officer ( SPO ) , Lacha Madkami , one of Madhi 's relations , of the same village .",NoTag,0
"Superintendent of police , Malkangiri , Akhileswar Singh said they have got the information about the incident and inquiry was continuing .",NoTag,0
"Meanwhile , the four-day bandh call given by Maoists in Malkangiri and adjoining Koraput district demanding halt to police action and alleged atrocity against tribals had entered the third today affecting normal life in Maoist hinterlands including Padia , Kalimela and Motu areas .","Meanwhile, the <cause>four-day bandh call</cause> given by <cause>Maoists</cause> in <trigger>Malkangiri</trigger> and adjoining <trigger>Koraput district</trigger> demanding a halt to <cause>police action</cause> and alleged <cause>atrocity against tribals</cause> had entered the <trigger>third day</trigger>, <effect>affecting normal life</effect> in Maoist hinterlands including <trigger>Padia, Kalimela, and Motu areas</trigger>.",1
"However , there was hardly any affect noticed in Koraput district due to the bandh , the sources said .",NoTag,0
"Hassan : Residents protest delay in improving road September 25 , 2013 00:00 IST Residents of Belur on Monday protested the delay in repairing the main road in the town by planting banana saplings in the middle of the road .","<cause>Residents</cause> protested the <cause>delay in improving the road</cause> on <trigger>September 25, 2013</trigger>. Residents of <trigger>Belur</trigger> on <trigger>Monday</trigger> protested the <cause>delay in repairing the main road</cause> in the town by planting <effect>banana saplings in the middle of the road</effect>.",1
The protesters planted the saplings in potholes to draw the attention of the officials to the poor condition of the road .,<cause>Protesters</cause> planted the <effect>saplings in potholes</effect> to <cause>draw the attention of the officials</cause> to the <cause>poor condition of the road</cause>.,1
"Earlier , the protesters , led by workers of Jaya Karnataka Vedike , took out a procession and stopped the movement of vehicles for half an hour .","<cause>Protesters</cause>, led by <cause>workers of Jaya Karnataka Vedike</cause>, took out a <trigger>procession</trigger> and <effect>stopped the movement of vehicles</effect> for half an hour.",1
Sporadic violence during hartal 20th May 2009 10:23 AM THIRUVANANTHAPURAM : Sporadic violence marked the hartal on Tuesday called by Muslim organisations in protest against the police action in Cheriyathura-Beemappally areas on Sunday .,"<cause>Sporadic violence</cause> marked the <trigger>hartal</trigger> on <trigger>Tuesday</trigger>, called by <cause>Muslim organisations</cause> in protest against the <cause>police action</cause> in <trigger>Cheriyathura-Beemappally areas</trigger> on <trigger>Sunday</trigger>.",1
KSRTC buses were attacked at ten places .,NoTag,0
Two bus drivers were hurt in the attacks .,NoTag,0
Hartal supporters pelted stones at a KSRTC bus at Karamana injuring driver Babu .,"<cause>Hartal supporters</cause> pelted stones at a <cause>KSRTC bus</cause> at <trigger>Karamana</trigger>, <effect>injuring driver Babu</effect>.",1
"In a similar incident at Karakkamandapam , KSRTC driver V .",NoTag,0
Hartal supporters surrounded a police station at Attakkulangara demanding that four men arrested by police for pelting stones at KSRTC buses be freed .,"<cause>Hartal supporters</cause> surrounded a <trigger>police station</trigger> at <trigger>Attakkulangara</trigger>, demanding that <cause>four men</cause> arrested by <cause>police</cause> for <cause>pelting stones at KSRTC buses</cause> be freed.",1
KSRTC buses were also attacked at a few other places including Poojappura and Balaramapuram .,NoTag,0
"At Kallukkodu , Muttathara , hartal supporters got a taste of their own medicine .",NoTag,0
"However , local people and the shopkeepers joined forces and pelted stones at the hartal supporters forcing them to flee .","<cause>Local people</cause> and <cause>shopkeepers</cause> joined forces and <effect>pelted stones at the hartal supporters</effect>, <effect>forcing them to flee</effect>.",1
He was seen as proactive when he disposed of the mercy petitions of 26/11 attack convict Ajmal Kasab and Parliament attack convict Afzal Guru that had triggered a controversy but his aides explain that as President he had no choice but to go by the Cabinet advice .,"<cause>He</cause> was seen as <effect>proactive</effect> when he disposed of the <cause>mercy petitions</cause> of <cause>26/11 attack convict Ajmal Kasab</cause> and <cause>Parliament attack convict Afzal Guru</cause>, which <effect>triggered a controversy</effect>.",1
"During the turbulent period last year-end in the capital , the demonstrations against the rape and murder of a 23 - year-old paramedical student reached the gates of Rashtrapati Bhavan seeking his intervention .","During the <trigger>turbulent period last year-end</trigger> in the <trigger>capital</trigger>, the <cause>demonstrations</cause> against the <cause>rape and murder of a 23-year-old paramedical student</cause> reached the <trigger>gates of Rashtrapati Bhavan</trigger>, seeking <cause>his intervention</cause>.",1
"Although everyone is keenly aware of how the power of the internet helped foster the massive march in 2003 , for now there are hotter topics in local cyberspace .",NoTag,0
"Management , Unions at loggerheads in KSRTC over attack on employees 07th July 2012 11:27 AM 204 attacks in 120 days !",NoTag,0
The controversy sparked off after the Kerala State Road Transport Employees Association ( KSRTEA ) pasted stickers on KSRTC buses seeking public intervention against ‘ police-goonda ’ attack on employees .,The <effect>controversy</effect> sparked off after the <cause>Kerala State Road Transport Employees Association (KSRTEA)</cause> pasted <trigger>stickers on KSRTC buses</trigger> seeking <cause>public intervention</cause> against the <cause>‘police-goonda’ attack on employees</cause>.,1
The management responded to this by issuing an order the other day seeking immediate removal of the posters .,NoTag,0
"‘ ’ They did nothing when the staff were brutally attacked by anti-social elements and police officials , ’ ’ said Jose Jacob , general secretary of the KSRTEA .",NoTag,0
"KERALA Brewing protest Members of the Kerala Mahila Sangham , the State unit of the National Federation of Indian Women , protest against the hike in cooking gas price , in Thrissur on Thursday .","Members of the <cause>Kerala Mahila Sangham</cause>, the State unit of the <cause>National Federation of Indian Women</cause>, <trigger>protest</trigger> against the <cause>hike in cooking gas price</cause>, in <trigger>Thrissur</trigger> on <trigger>Thursday</trigger>.",1
"Distributing medals and trophies to winners of the five-day event in which 702 personnel from 22 State police teams and eight Central police organisations participated , the chief minister recalled the 26/11 incidents in Mumbai to stress her point .",<actor>The chief minister</actor> <trigger>distributed medals and trophies</trigger> to winners of the <cause>five-day event</cause> in which <cause>702 personnel from 22 State police teams and eight Central police organizations</cause> participated. <trigger>The chief minister</trigger> <cause>recalled the 26/11 incidents in Mumbai</cause> to <effect>stress her point</effect>.,1
"Sivaji Terminus in Mumbai firing indiscriminately with an AK -47 on 26/11 , while a brave constable tried to return fire with a .303 rifle is still green .",NoTag,0
"Demonstrators have filed for a permit to hold a rally on Saturday in Yuen Long , the district on the outskirts of Hong Kong where dozens of masked men chased and beat commuters and protesters with wooden poles and metal rods , leaving at least 45 people in hospital .","Demonstrators have <trigger>filed for a permit</trigger> to <trigger>hold a rally on Saturday</trigger> in <trigger>Yuen Long</trigger>, the district on the outskirts of Hong Kong where <cause>dozens of masked men</cause> <trigger>chased and beat</trigger> <cause>commuters and protesters</cause> with <cause>wooden poles and metal rods</cause>, leaving <effect>at least 45 people in hospital</effect>.",1
"Footage of the attack , which included a pregnant woman being hit , protesters being punched and kneed , and commuters screaming and crying while trying to shield themselves , emerged on Sunday night , fuelling further political unrest as demonstrators , opposition lawmakers and others demanded answers from authorities for failing to stop the violence .","<effect>Footage of the attack</effect>, which included <cause>a pregnant woman being hit</cause>, <cause>protesters being punched and kneed</cause>, and <cause>commuters screaming and crying while trying to shield themselves</cause>, emerged on <trigger>Sunday night</trigger>, <cause>fuelling further political unrest</cause> as <cause>demonstrators, opposition lawmakers, and others</cause> demanded <trigger>answers from authorities</trigger> for <cause>failing to stop the violence</cause>.",1
"Max Chung , who delivered the application for a letter of no objection from the police , that is required to hold a rally , said : “ We want to show to the public and international community that Hong Kongers , we will never surrender in front of terrorism … To show our solidarity and say no to terrorism , we have to stand up. ” Chung said : “ Yuen Long was under terrorist attack and we have no choice but to take it back. ” The protests , principally over a controversial bill that would allow suspects to be extradited from Hong Kong to mainland China , have taken on new demands , including an investigation into police use of rubber bullets , teargas and physical violence against protesters .",NoTag,0
Protesters are angry at the police ’ s slow response to the attack in Yuen Long and their pursuit of the case .,<effect>Protesters are angry</effect> at the <cause>police’s slow response</cause> to the <cause>attack in Yuen Long</cause> and their <cause>pursuit of the case</cause>.,1
The violence in Yuen Long has heightened tensions and fears of further attacks .,<cause>The violence in Yuen Long</cause> has <effect>heightened tensions and fears of further attacks</effect>.,1
"On Tuesday evening , unverified footage showed men in white gathering in Tuen Mun , another city near Yuen Long in the New Territories .",NoTag,0
"Hong Kong ’ s leader , Carrie Lam , said the “ shocking violence ” in Yuen Long would be investigated , but devoted most of her comments to criticising protesters , who surrounded Beijing ’ s liaison office in Hong Kong and defaced the national emblem of the People ’ s Republic of China on Sunday .",NoTag,0
"On Tuesday , a group of aviation staff called for a protest at Hong Kong airport on Friday to condemn the government and police for “ ignoring the random attacks on citizens in Yuen Long ” .","On <trigger>Tuesday</trigger>, a <cause>group of aviation staff</cause> called for a <trigger>protest at Hong Kong airport on Friday</trigger> to <effect>condemn the government and police for “ignoring the random attacks on citizens in Yuen Long”</effect>.",1
"In Yuen Long , Chung and other protesters are demanding the government conducts an independent investigation and officially characterises the violence as a “ cross-border terrorist attack ” .",NoTag,0
"Hailey Leung , a university student who has been attending the protests this summer , said : “ The fear of the gangs is definitely stronger than the fear of the use of violence of the police. ” Her parents have been supportive of the protests but , since the violence in Yuen Long , they have asked her not to attend .","<cause>Hailey Leung</cause>, a university student who has been <trigger>attending the protests this summer</trigger>, said: “The <cause>fear of the gangs</cause> is definitely stronger than the <cause>fear of the use of violence of the police</cause>.” Her parents have been <effect>supportive of the protests</effect> but, <trigger>since the violence in Yuen Long</trigger>, they have <effect>asked her not to attend</effect>.",1
"Suddenly , a motley group of slogan-shouting students emerged from the dhaba .",NoTag,0
"They exhorted us to join the protest against the recommendations of the Mandal Commission , which had been implemented a day earlier .",NoTag,0
Thus we too joined the sloganeering .,NoTag,0
"By the time the self-styled leaders had commandeered a few DTC buses , nearly 200 postgraduate and doctoral students had gathered at an intersection , which later became the epicentre of protests and was rechristened euphemistically as Kranti Chowk .",NoTag,0
"Some hotheads tried to gatecrash , provoking the policemen into action  they charged ferociously , dispersing the crowd within minutes .","<cause>Some hotheads tried to gatecrash</cause>, <trigger>provoking the policemen into action</trigger>—they <cause>charged ferociously</cause>, <effect>dispersing the crowd within minutes</effect>.",1
"That night , Doordarshan telecast news of protests .",NoTag,0
